374	0	70	20	1	5	4	2	3	3	2	3	3	3	5	5	4	3	4	4	4	3	4	1	5	4	5	5	5	5	5	4	5
382	1	66	65	0	3	3	3	2	2	3	3	2	2	3	4	2	2	2	2	2	3	3	1	3	3	3	3	3	4	4	4	4
383	1	20	160	1	4	4	3	3	3	.	3	4	4	3	4	3	4	4	2	3	3	3	1	4	3	3	4	4	4	4	4	3
387	0	66	15	1	5	5	4	4	4	3	4	3	4	4	5	4	4	4	4	4	4	4	1	3	3	3	4	4	4	4	4	4
394	0	63	20	1	5	5	4	4	4	5	4	3	5	5	5	4	4	4	4	3	4	4	1	4	4	4	4	4	4	4	4	4
396	1	66	40	1	4	4	3	2	2	2	3	2	2	4	4	3	2	2	2	3	2	3	1	3	2	3	2	3	3	3	4	3
401	1	45	250	0	3	3	3	2	2	2	3	3	2	4	3	4	2	2	3	3	3	3	1	3	3	3	3	3	4	4	4	4
402	1	36	60	1	5	5	3	3	3	4	3	3	4	5	5	4	3	3	4	2	2	3	1	2	1	1	4	4	1	3	3	3
404	1	40	80	0	5	5	4	3	3	3	4	4	5	5	5	3	4	5	5	4	4	4	1	3	3	4	3	2	3	3	3	3
410	1	51	95	1	5	5	2	4	2	3	3	3	3	4	4	2	4	2	3	4	2	4	1	2	2	2	3	3	2	3	4	3
415	1	57	140	1	5	5	2	2	4	3	2	2	2	5	5	4	4	5	3	3	3	3	1	4	1	4	4	5	5	5	5	5
416	0	65	80	1	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	1	.	.	.	.	.	4	4	4	4
417	0	53	95	1	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	1	5	3	4	4	4	4	4	4	4
424	1	.	35	1	4	4	3	3	3	3	3	4	4	4	4	4	3	3	3	4	4	4	1	4	4	2	3	4	4	4	4	4
428	1	30	110	1	4	5	4	3	3	4	4	4	4	4	5	4	3	3	4	4	5	5	1	4	4	4	5	5	5	5	5	5
431	0	59	65	0	5	5	5	4	4	4	4	4	5	5	5	5	5	5	5	4	5	5	1	3	3	3	3	5	5	5	5	5
433	1	55	100	1	5	5	3	3	3	4	3	3	3	5	5	3	3	3	4	4	3	3	1	4	2	4	4	4	3	3	3	2
434	1	51	100	1	4	4	2	2	3	3	2	2	2	.	.	3	3	4	4	4	4	4	1	4	2	2	5	5	5	5	5	5
437	0	53	130	1	5	5	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	1	3	3	3	4	4	5	5	5	5
443	0	49	170	1	4	5	3	4	4	4	4	3	4	4	4	4	3	2	3	3	4	4	1	3	3	3	3	3	4	4	4	4
449	0	43	225	1	4	5	4	3	4	4	3	3	3	4	4	3	3	4	4	.	.	.	1	4	4	4	4	4	4	4	4	3
450	0	47	75	1	5	5	4	4	4	4	3	4	4	5	5	4	4	4	4	4	4	4	1	5	4	3	.	.	3	3	3	3
455	0	42	35	1	5	5	4	4	4	4	3	2	2	3	5	4	4	4	4	4	3	3	1	4	3	4	4	4	4	4	3	3
458	1	44	95	1	5	4	3	3	2	2	4	4	4	4	5	4	4	4	3	.	.	.	1	2	2	3	3	2	3	4	3	4
461	1	45	120	1	4	4	3	2	2	2	3	3	3	5	5	2	2	2	2	3	3	3	1	2	2	3	3	4	2	2	3	1
465	1	36	80	1	4	4	3	2	3	4	3	3	3	4	4	3	3	4	3	4	4	4	1	3	3	4	4	4	4	4	4	3
474	0	59	.	1	.	.	5	5	5	5	5	5	5	5	5	4	4	4	4	.	.	.	1	5	.	5	5	.	5	.	.	.
481	0	54	60	1	5	5	4	4	4	4	3	3	3	4	4	4	4	4	4	3	3	3	1	4	2	2	4	4	3	3	4	3
482	0	46	80	0	4	4	4	3	3	4	2	2	2	4	4	3	3	3	4	4	4	4	1	3	3	3	3	3	3	3	3	3
483	0	55	130	0	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	1	3	3	3	3	3	4	4	4	3
489	1	83	30	0	4	4	4	3	3	4	3	3	3	4	4	4	3	3	4	3	3	3	1	3	2	3	3	3	3	3	4	3
492	0	43	70	1	4	4	3	2	3	2	3	3	3	4	4	3	2	2	3	3	3	3	1	3	3	3	3	3	4	4	4	4
493	1	53	70	1	2	3	2	2	2	1	3	3	3	1	3	2	2	2	2	3	3	3	1	2	1	1	2	3	1	1	1	1
498	1	34	65	1	3	4	3	3	4	3	3	2	3	4	4	4	3	4	4	4	3	4	1	4	2	3	4	4	3	4	4	4
504	1	55	120	0	4	3	3	2	2	2	2	2	2	4	4	4	3	3	4	3	3	3	1	3	3	3	4	4	4	4	4	4
507	1	64	110	1	4	4	4	4	4	4	3	4	4	4	5	3	3	3	4	3	4	4	1	4	2	2	4	4	3	3	3	3
519	1	59	150	1	4	4	4	3	3	4	4	3	4	3	4	3	3	3	3	4	4	4	1	3	2	3	4	4	4	4	4	4
525	1	51	100	1	5	5	4	4	4	4	3	3	4	4	5	4	4	4	4	.	.	.	1	4	2	4	4	4	4	4	4	4
