51	1	63	60	0	4	4	.	.	.	.	.	.	.	4	4	4	3	4	3	4	4	4	0	.	.	.	.	.	.	.	.	.	1	1
52	1	66	85	1	4	4	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	1	5	5	5	5	5	5	5	5	5	2	2
55	1	65	150	0	3	3	4	3	3	2	3	3	3	3	3	3	3	3	2	3	3	3	1	.	.	.	1	1	2	.	4	.	3	3
57	1	55	200	0	4	4	3	2	2	3	3	2	3	4	4	3	3	2	3	4	3	4	1	4	3	4	4	4	4	4	4	4	4	4
60	0	44	100	1	5	5	4	4	4	4	3	3	3	4	5	3	3	3	4	3	3	4	1	4	3	3	3	3	3	3	3	3	3	3
62	1	80	25	0	.	.	4	4	4	4	4	4	4	.	.	4	2	4	4	4	3	3	0	.	.	.	.	.	4	4	4	4	1	1
63	0	53	.	1	4	5	4	3	3	3	3	3	4	5	5	4	4	4	5	4	4	4	1	3	2	3	3	3	4	3	3	3	3	3
65	1	43	50	1	4	5	4	3	3	4	4	4	4	4	4	3	3	3	3	4	3	4	0	2	2	3	3	3	3	3	3	3	1	1
67	0	69	.	0	5	5	3	3	3	3	2	2	3	5	5	4	3	3	4	3	3	3	1	3	3	3	3	5	5	5	5	5	3	2
68	1	64	190	1	4	4	4	4	4	4	4	3	4	4	5	3	4	4	4	3	4	4	1	3	3	4	4	4	4	4	4	4	4	4
69	1	77	80	1	4	5	4	4	3	4	3	3	3	4	4	4	3	3	4	3	4	4	0	.	.	.	.	.	.	.	.	.	1	1
73	1	62	75	0	3	4	3	2	2	3	2	1	3	4	4	4	3	2	3	4	3	3	1	3	3	3	3	3	3	3	4	3	3	3
74	1	44	60	1	4	4	3	4	3	3	4	3	3	4	4	3	4	4	4	4	3	3	1	4	2	4	4	4	4	4	4	4	4	4
76	1	59	60	0	5	5	4	4	4	4	3	3	3	3	5	2	3	3	3	3	3	3	0	3	3	3	3	3	4	4	4	4	1	1
77	1	44	110	1	4	4	4	3	3	3	4	4	4	4	4	4	4	4	4	3	3	3	1	3	3	3	3	3	4	4	3	4	3	4
79	0	70	40	1	4	5	4	3	3	3	3	3	3	4	4	3	3	3	4	3	3	3	0	.	.	.	.	.	.	.	.	.	1	1
81	0	53	130	1	5	5	4	3	3	3	4	4	4	4	4	4	3	3	2	4	3	4	0	.	.	.	.	.	3	3	3	3	1	1
83	0	46	120	0	5	4	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	0	3	3	3	3	3	4	4	4	4	1	1
85	1	63	120	1	4	5	.	.	.	.	.	.	.	4	4	4	3	3	4	3	3	4	0	.	.	.	.	.	.	.	.	.	1	1
86	1	57	30	1	2	3	2	3	3	2	3	3	4	2	4	3	3	3	3	4	4	4	0	2	2	2	2	2	3	3	3	3	1	1
88	0	50	170	1	.	.	4	3	3	2	3	4	4	5	5	4	4	4	3	2	3	4	1	5	4	5	5	5	4	4	4	2	2	4
90	1	82	22	1	5	5	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	0	.	.	.	.	.	.	.	.	.	1	1
91	0	54	.	0	4	4	4	3	4	4	4	3	4	5	5	4	3	3	4	3	2	3	1	4	2	3	3	3	2	3	2	2	3	3
92	0	56	100	0	5	5	4	3	4	4	4	4	4	5	5	4	3	4	4	3	4	4	1	3	3	3	3	3	4	4	4	3	3	4
93	1	63	40	1	4	5	4	4	4	4	3	3	4	5	5	4	4	4	4	4	4	4	1	4	2	2	4	4	2	3	2	3	4	3
94	0	26	100	1	4	5	4	4	4	4	.	3	4	4	4	4	3	4	4	3	3	3	1	3	3	4	4	4	4	4	4	4	4	4
95	0	47	180	1	4	4	3	2	2	2	3	3	4	4	4	4	3	4	2	3	3	4	1	2	2	2	4	2	1	1	2	1	3	3
96	0	79	20	0	4	4	3	4	3	3	3	3	3	4	4	4	3	4	3	3	3	3	0	3	3	3	3	3	4	4	4	4	1	1
